,API/UWI,Production Date,Liquid (bbl),Gas (mcf),Water (bbl),Well Count_x,Operator Alias,Well/Lease Name,Well Number,Entity Type,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count_y,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Perforated Interval Length,Field,State,District,Basin,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,EUR Primary Product,EUR Calc Date,BE Oil EUR,BE Oil Delta EUR,BE Oil Delta EUR Percent,BE Gas EUR,BE Gas Delta EUR,BE Gas Delta EUR Percent,BE B-Factor,BE Initial Rate,BE Final Rate,BE End Date,BE Initial Decline,BE Oil RRR,BE Gas RRR,Full Oil EUR,Full Gas EUR,Full B-Factor,Full Final Rate,Full End Date,Full Initial Decline,Full Oil RRR,Full Gas RRR,Surface Latitude (WGS84),Surface Longitude (WGS84),Reported Operator,Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID,BOE per day,Time Delta
10,42461404590000,2017-08-01,17598,19239,15742.0,1,CONCHO RESOURCES INC.,HASEL53 UNIT B,5302BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-12-01,140188.0,132679.0,156044.0,118689.0,936.0,1.0,572,542,20346,16404.0,18201.0,110797.0,112401.0,129531.0,99115.0,,,,,,,,,,,,,,,,788.0,669.0,5394000.0,899.0,10004,13965.0,8949.0,,,,,,,850.0,1056.595,1060.0,946.436,1177.5,716.4,20064.0,2,23626.0,2,26970.0,,162.0,,9039.0,19674.0,,42.0,2017-05-08,1,1,8,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19677,2017-02-05,19776.0,,10635.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,8.0,0,0,1524,,"GC&SF RR CO / TAYLOR, W T",(N/A),P-440,OIL,2018-02-01,391492.0,,,402814.0,,,0.64,776.0,1.0,2065-01-18,0.720537,268817.0,0.0,391492.0,402814.0,0.64,1.0,2065-01-18,0.720537,268817.0,0.0,31.3351633,-101.9450939,COG OPERATING LLC,132679.0,140188.0,118689.0,129978216,643.496523396,61 days 00:00:00.000000000
11,42461404590000,2017-09-01,15405,19782,13781.0,1,CONCHO RESOURCES INC.,HASEL53 UNIT B,5302BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-12-01,140188.0,132679.0,156044.0,118689.0,936.0,1.0,572,542,20346,16404.0,18201.0,110797.0,112401.0,129531.0,99115.0,,,,,,,,,,,,,,,,788.0,669.0,5394000.0,899.0,10004,13965.0,8949.0,,,,,,,850.0,1056.595,1060.0,946.436,1177.5,716.4,20064.0,2,23626.0,2,26970.0,,162.0,,9039.0,19674.0,,42.0,2017-05-08,1,1,8,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19677,2017-02-05,19776.0,,10635.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,8.0,0,0,1524,,"GC&SF RR CO / TAYLOR, W T",(N/A),P-440,OIL,2018-02-01,391492.0,,,402814.0,,,0.64,776.0,1.0,2065-01-18,0.720537,268817.0,0.0,391492.0,402814.0,0.64,1.0,2065-01-18,0.720537,268817.0,0.0,31.3351633,-101.9450939,COG OPERATING LLC,132679.0,140188.0,118689.0,129978216,578.464850419,92 days 00:00:00.000000000
12,42461404590000,2017-10-01,13707,17985,12262.0,1,CONCHO RESOURCES INC.,HASEL53 UNIT B,5302BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-12-01,140188.0,132679.0,156044.0,118689.0,936.0,1.0,572,542,20346,16404.0,18201.0,110797.0,112401.0,129531.0,99115.0,,,,,,,,,,,,,,,,788.0,669.0,5394000.0,899.0,10004,13965.0,8949.0,,,,,,,850.0,1056.595,1060.0,946.436,1177.5,716.4,20064.0,2,23626.0,2,26970.0,,162.0,,9039.0,19674.0,,42.0,2017-05-08,1,1,8,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19677,2017-02-05,19776.0,,10635.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,8.0,0,0,1524,,"GC&SF RR CO / TAYLOR, W T",(N/A),P-440,OIL,2018-02-01,391492.0,,,402814.0,,,0.64,776.0,1.0,2065-01-18,0.720537,268817.0,0.0,391492.0,402814.0,0.64,1.0,2065-01-18,0.720537,268817.0,0.0,31.3351633,-101.9450939,COG OPERATING LLC,132679.0,140188.0,118689.0,129978216,516.680894762,122 days 00:00:00.000000000
13,42461404590000,2017-11-01,11878,13822,10625.0,1,CONCHO RESOURCES INC.,HASEL53 UNIT B,5302BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-12-01,140188.0,132679.0,156044.0,118689.0,936.0,1.0,572,542,20346,16404.0,18201.0,110797.0,112401.0,129531.0,99115.0,,,,,,,,,,,,,,,,788.0,669.0,5394000.0,899.0,10004,13965.0,8949.0,,,,,,,850.0,1056.595,1060.0,946.436,1177.5,716.4,20064.0,2,23626.0,2,26970.0,,162.0,,9039.0,19674.0,,42.0,2017-05-08,1,1,8,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19677,2017-02-05,19776.0,,10635.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,8.0,0,0,1524,,"GC&SF RR CO / TAYLOR, W T",(N/A),P-440,OIL,2018-02-01,391492.0,,,402814.0,,,0.64,776.0,1.0,2065-01-18,0.720537,268817.0,0.0,391492.0,402814.0,0.64,1.0,2065-01-18,0.720537,268817.0,0.0,31.3351633,-101.9450939,COG OPERATING LLC,132679.0,140188.0,118689.0,129978216,438.648042297,153 days 00:00:00.000000000
14,42461404590000,2017-12-01,10004,13965,8949.0,1,CONCHO RESOURCES INC.,HASEL53 UNIT B,5302BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-12-01,140188.0,132679.0,156044.0,118689.0,936.0,1.0,572,542,20346,16404.0,18201.0,110797.0,112401.0,129531.0,99115.0,,,,,,,,,,,,,,,,788.0,669.0,5394000.0,899.0,10004,13965.0,8949.0,,,,,,,850.0,1056.595,1060.0,946.436,1177.5,716.4,20064.0,2,23626.0,2,26970.0,,162.0,,9039.0,19674.0,,42.0,2017-05-08,1,1,8,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19677,2017-02-05,19776.0,,10635.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,8.0,0,0,1524,,"GC&SF RR CO / TAYLOR, W T",(N/A),P-440,OIL,2018-02-01,391492.0,,,402814.0,,,0.64,776.0,1.0,2065-01-18,0.720537,268817.0,0.0,391492.0,402814.0,0.64,1.0,2065-01-18,0.720537,268817.0,0.0,31.3351633,-101.9450939,COG OPERATING LLC,132679.0,140188.0,118689.0,129978216,381.421201099,183 days 00:00:00.000000000
15,42461404330000,2017-08-01,14405,13174,0.0,1,SUMMIT PETROLEUM LLC,DOROTHY H,14WA,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-08-01,2017-11-01,83177.0,43999.0,57862.0,0.0,347.0,0.0,682,361,14405,13174.0,0.0,,,,,,,,,,,,,,,,,,,,164.0,490.0,1471167.0,245.0,10374,28407.0,0.0,,,,,,,2990.0,1890.429,1890.0,528.98,334.2,365.2,28407.0,4,14405.0,1,18797.0,,113.0,,9039.0,19991.0,,40.0,2017-08-15,1,1,4,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19648,2017-02-28,20111.0,,10952.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,19.0,0,0,193,Y,GC&SF RR CO,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.350915,-102.0616591,SUMMIT PETROLEUM LLC,43999.0,83177.0,0.0,129978214,498.607159791,0 days 00:00:00.000000000
16,42461404330000,2017-09-01,4908,14687,0.0,1,SUMMIT PETROLEUM LLC,DOROTHY H,14WA,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-08-01,2017-11-01,83177.0,43999.0,57862.0,0.0,347.0,0.0,682,361,14405,13174.0,0.0,,,,,,,,,,,,,,,,,,,,164.0,490.0,1471167.0,245.0,10374,28407.0,0.0,,,,,,,2990.0,1890.429,1890.0,528.98,334.2,365.2,28407.0,4,14405.0,1,18797.0,,113.0,,9039.0,19991.0,,40.0,2017-08-15,1,1,4,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19648,2017-02-28,20111.0,,10952.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,19.0,0,0,193,Y,GC&SF RR CO,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.350915,-102.0616591,SUMMIT PETROLEUM LLC,43999.0,83177.0,0.0,129978214,220.93517326,31 days 00:00:00.000000000
17,42461404330000,2017-10-01,14312,26909,0.0,1,SUMMIT PETROLEUM LLC,DOROTHY H,14WA,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-08-01,2017-11-01,83177.0,43999.0,57862.0,0.0,347.0,0.0,682,361,14405,13174.0,0.0,,,,,,,,,,,,,,,,,,,,164.0,490.0,1471167.0,245.0,10374,28407.0,0.0,,,,,,,2990.0,1890.429,1890.0,528.98,334.2,365.2,28407.0,4,14405.0,1,18797.0,,113.0,,9039.0,19991.0,,40.0,2017-08-15,1,1,4,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19648,2017-02-28,20111.0,,10952.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,19.0,0,0,193,Y,GC&SF RR CO,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.350915,-102.0616591,SUMMIT PETROLEUM LLC,43999.0,83177.0,0.0,129978214,564.569837441,61 days 00:00:00.000000000
18,42461404330000,2017-11-01,10374,28407,0.0,1,SUMMIT PETROLEUM LLC,DOROTHY H,14WA,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-08-01,2017-11-01,83177.0,43999.0,57862.0,0.0,347.0,0.0,682,361,14405,13174.0,0.0,,,,,,,,,,,,,,,,,,,,164.0,490.0,1471167.0,245.0,10374,28407.0,0.0,,,,,,,2990.0,1890.429,1890.0,528.98,334.2,365.2,28407.0,4,14405.0,1,18797.0,,113.0,,9039.0,19991.0,,40.0,2017-08-15,1,1,4,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19648,2017-02-28,20111.0,,10952.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,19.0,0,0,193,Y,GC&SF RR CO,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.350915,-102.0616591,SUMMIT PETROLEUM LLC,43999.0,83177.0,0.0,129978214,453.789382377,92 days 00:00:00.000000000
19,42461403720000,2017-03-01,3115,1096,0.0,1,CONCHO RESOURCES INC.,HASEL28 P2 UNIT 1,2804BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-03-01,2017-12-01,21097.0,23736.0,27252.0,30.0,164.0,0.0,69,78,1547,1475.0,0.0,20960.0,19052.0,24135.0,0.0,,,,,,,,,,,,,,,,192.0,182.0,1331967.0,222.0,313,131.0,13.0,,,,,,,950.0,888.819,890.0,1125.089,1056.0,2389.3,5447.0,2,5752.0,2,6660.0,,40.0,,9077.0,18696.0,,46.67,2017-03-20,1,1,10,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19564,2016-10-19,18962.0,,9619.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,28.0,0,0,1521,Y,"TC RR CO/MASSINGILL, M E",(N/A),P-440,OIL,2018-02-01,55422.0,,,69062.0,,,0.06,189.0,1.0,2021-07-08,0.748146,22112.0,0.0,55422.0,69062.0,0.06,0.95,2021-07-08,0.748146,22112.0,0.0,31.3436737,-101.9821994,COG OPERATING LLC,23736.0,21097.0,30.0,129934964,112.772509817,-31 days +00:00:00.000000000
20,42461403720000,2017-04-01,26134,23577,0.0,1,CONCHO RESOURCES INC.,HASEL28 P2 UNIT 1,2804BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-03-01,2017-12-01,21097.0,23736.0,27252.0,30.0,164.0,0.0,69,78,1547,1475.0,0.0,20960.0,19052.0,24135.0,0.0,,,,,,,,,,,,,,,,192.0,182.0,1331967.0,222.0,313,131.0,13.0,,,,,,,950.0,888.819,890.0,1125.089,1056.0,2389.3,5447.0,2,5752.0,2,6660.0,,40.0,,9077.0,18696.0,,46.67,2017-03-20,1,1,10,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19564,2016-10-19,18962.0,,9619.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,28.0,0,0,1521,Y,"TC RR CO/MASSINGILL, M E",(N/A),P-440,OIL,2018-02-01,55422.0,,,69062.0,,,0.06,189.0,1.0,2021-07-08,0.748146,22112.0,0.0,55422.0,69062.0,0.06,0.95,2021-07-08,0.748146,22112.0,0.0,31.3436737,-101.9821994,COG OPERATING LLC,23736.0,21097.0,30.0,129934964,1028.1015917,0 days 00:00:00.000000000
