API/UWI,Operator Alias,Well/Lease Name,Well Number,Entity Type,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Perforated Interval Length,Field,State,District,Basin,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,EUR Primary Product,EUR Calc Date,BE Oil EUR,BE Oil Delta EUR,BE Oil Delta EUR Percent,BE Gas EUR,BE Gas Delta EUR,BE Gas Delta EUR Percent,BE B-Factor,BE Initial Rate,BE Final Rate,BE End Date,BE Initial Decline,BE Oil RRR,BE Gas RRR,Full Oil EUR,Full Gas EUR,Full B-Factor,Full Final Rate,Full End Date,Full Initial Decline,Full Oil RRR,Full Gas RRR,Surface Latitude (WGS84),Surface Longitude (WGS84),Reported Operator,Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID
42461386440000,CONCHO RESOURCES INC.,NADA,9532H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-07-01,2017-12-01,313041.0000,97342.0000,149516.0000,59539.0000,897.0000,1.0000,156,37,9618,11327.0000,11271,29789.0000,78412.0000,42858.0000,34453.0000,43032,116515,62451.0000,375.0000,36811,60986.0000,173818.0000,89956.0000,540.0000,42497.0000,,,,,,226.0000,838.0000,2191484.0000,365.0000,861,3042.0000,389,14531,49939,6835,,,,3720.00,4278.7170,3220.00,233.7150,269.0000,283.0000,25990.0000,2,9618.0000,1,11506.0000,,69.0000,,9775.00000,13520.00000,,43.300000,2013-06-23,1,1,54,,,16838,2013-04-23,13876.00000,0.00000,3745.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,94,0,0,812,D,"CCSD&RGNG RR CO/ HAMILTON, P",(N/A),P-440,OIL,2018-02-01,199677,1252,0.63,750354,12803,1.74,2.00,55,1,2066-08-22,0.546426,103169,0,272732,1062051,1.93,2.82,2062-10-12,0.785799,176224,0,31.4623516,-102.1097282,COG OPERATING LLC,13311.0000,56954.0000,6135.0000,128640049
42461388380000,CONCHO RESOURCES INC.,DORIS,22H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-12-01,2017-12-01,259383.0000,167709.0000,210939.0000,109476.0000,1266.0000,1.0000,104,68,16386,11271.0000,10522,59979.0000,98539.0000,76402.0000,56714.0000,83721,137992,106720.0000,640.0000,80690,113884.0000,181652.0000,144159.0000,865.0000,93138.0000,,,,,,509.0000,657.0000,3710484.0000,618.0000,1919,2189.0000,627,27066,37703,7514,,,,1290.00,1523.4530,1550.00,656.4030,774.5000,876.7000,21528.0000,4,16386.0000,1,19171.0000,,115.0000,,9866.00000,14937.00000,,42.000000,2013-11-23,1,1,49,,,15580,2013-08-01,15105.00000,0.00000,5071.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,52,0,0,1322,C,"CCSD&RGNG RR CO/ WILLIAMSON, W K",(N/A),P-440,OIL,2018-02-01,419994,-54260,-11.44,595436,-28941,-4.64,1.82,512,4,2063-03-14,0.798696,272084,0,419994,595436,1.82,4.15,2063-03-14,0.798696,272084,0,31.4459103,-102.0453623,COG OPERATING LLC,24730.0000,37675.0000,8178.0000,128673876
42461388780000,CONCHO RESOURCES INC.,HALFFEAST 36 NE,1H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-10-01,2017-12-01,198917.0000,97481.0000,130634.0000,135785.0000,784.0000,1.0000,110,44,177,97.0000,216,26148.0000,52460.0000,34891.0000,31927.0000,42571,92219,57941.0000,348.0000,51981,61049.0000,130183.0000,82746.0000,496.0000,96232.0000,,,,,,214.0000,194.0000,1478400.0000,246.0000,1249,4704.0000,964,16335,22173,13155,,,,910.00,2601.5010,2040.00,384.3930,1102.1000,265.5000,23154.0000,3,9168.0000,3,13027.0000,,78.0000,,9210.00000,14480.00000,,40.900000,2013-10-19,1,1,51,,,18397,2012-08-13,14570.00000,0.00000,5270.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,12,0,0,829,A,"G RR CO / MONTGOMERY, G",(N/A),P-440,OIL,2018-02-01,292074,119,0.04,688012,83892,13.89,2.00,301,3,2063-01-11,0.777503,195855,0,292074,688012,2.00,3.00,2063-01-11,0.777503,195855,0,31.2795203,-101.9480526,COG OPERATING LLC,15985.0000,41585.0000,12204.0000,128673882
42461390500000,CALLON PETROLEUM COMPANY,NEAL,344H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2014-05-01,2017-12-01,82224.0000,41964.0000,55668.0000,59130.0000,334.0000,0.0000,49,12,6062,3621.0000,8479,19851.0000,24286.0000,23899.0000,29263.0000,27818,35442,33725.0000,202.0000,41081,34347.0000,51974.0000,43009.0000,258.0000,50320.0000,,,,,,145.0000,239.0000,1107767.0000,185.0000,356,1917.0000,452,5307,18044,5337,,,,1650.00,4297.5090,1960.00,232.6930,607.2000,185.7000,7157.0000,2,6062.0000,1,6666.0000,,40.0000,,9124.00000,16423.00000,,40.700000,2014-05-22,1,1,44,"WEST TEXAS GAS, INC.","PLAINS MARKETING, L.P.",17203,2013-11-13,16515.00000,,7299.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,3,0,0,179,,GC&SF RR CO,(N/A),P-440,OIL,2018-02-01,72682,8390,13.05,169769,26841,18.78,0.83,223,1,2039-11-15,0.833347,22512,0,72682,169769,0.83,1.00,2039-11-15,0.833347,22512,0,31.2974251,-101.8945045,CALLON PETROLEUM OPERATING CO,4215.0000,18114.0000,5347.0000,128738077
42461390560000,CALLON PETROLEUM COMPANY,NEAL,345H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2014-05-01,2017-12-01,330676.0000,58320.0000,113433.0000,75287.0000,681.0000,1.0000,200,17,8269,14456.0000,10836,27122.0000,97043.0000,43296.0000,37459.0000,38169,141828,61807.0000,371.0000,52557,47373.0000,208435.0000,82112.0000,493.0000,64262.0000,,,,,,198.0000,952.0000,2137967.0000,356.0000,516,7755.0000,563,7567,72826,6714,,,,4820.00,12040.2760,5670.00,83.0550,207.5000,66.5000,28571.0000,2,8269.0000,1,10690.0000,,64.0000,,9124.00000,16423.00000,,40.700000,2014-05-16,1,1,44,"WEST TEXAS GAS, INC.","PLAINS MARKETING, L.P.",17203,2013-11-20,16510.00000,,7299.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,3,0,0,179,,GC&SF RR CO,(N/A),P-440,OIL,2018-02-01,106999,697,0.66,699524,45925,7.03,0.86,304,1,2048-06-01,0.830203,37571,0,106999,699524,0.86,1.00,2048-06-01,0.830203,37571,0,31.2974228,-101.8943126,CALLON PETROLEUM OPERATING CO,6083.0000,73241.0000,6675.0000,128738078
42461391400000,CALLON PETROLEUM COMPANY,NEAL,346AH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2014-06-01,2017-12-01,60292.0000,28578.0000,38627.0000,30107.0000,232.0000,0.0000,39,10,4188,5339.0000,5494,11428.0000,17257.0000,14304.0000,13317.0000,17326,25121,21513.0000,129.0000,20075,22553.0000,37623.0000,28823.0000,173.0000,25215.0000,,,,,,0.0000,108.0000,108161.0000,18.0000,300,1497.0000,262,4425,13990,3147,,,,,3989.2660,2110.00,250.6730,0.0000,200.4000,5339.0000,1,4188.0000,1,5078.0000,,30.0000,,9052.00000,15328.00000,,46.800000,2014-05-31,1,1,43,,,17203,2013-11-22,15446.00000,0.00000,6276.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,3,0,0,179,,GC&SF RR CO,(N/A),P-440,OIL,2018-02-01,52392,140,0.27,106677,10176,10.54,0.86,168,1,2037-01-30,0.826861,18071,0,52392,106677,0.86,1.00,2037-01-30,0.826861,18071,0,31.2974236,-101.8944087,CALLON PETROLEUM OPERATING CO,3540.0000,14122.0000,3110.0000,128738354
42461389090000,PIONEER NATURAL RESOURCES COMPANY,XBC GIDDINGS ESTATE,2099H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2014-03-01,2017-12-01,109101.0000,68420.0000,86604.0000,137046.0000,520.0000,1.0000,36,19,4950,7207.0000,21677,31925.0000,49869.0000,40237.0000,73409.0000,43204,68185,54568.0000,327.0000,98238,55251.0000,86375.0000,69647.0000,418.0000,120968.0000,,,,,,248.0000,337.0000,1824267.0000,304.0000,484,988.0000,602,7945,11814,9688,,,,1360.00,1941.6280,1590.00,515.0320,734.3000,489.9000,12997.0000,3,7809.0000,3,9975.0000,,60.0000,,9356.00000,14038.00000,,42.800000,2014-03-27,1,1,46,TARGA PIPELINE MID-CONTINENT LLC,PLAINS PIPELINE L.P.,16349,2013-10-28,14174.00000,,4682.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,3,0,0,544,,THROCKMORTON CSL,(N/A),P-440,OIL,2018-02-01,129605,-47443,-35.96,219837,-73860,-37.00,1.82,19,1,2061-09-20,0.260208,62518,0,115366,193844,1.15,1.00,2055-06-24,0.861666,48279,0,31.4609442,-102.0180216,"PIONEER NATURAL RES. USA, INC.",6767.0000,13139.0000,8333.0000,128738405
42461386550000,CONCHO RESOURCES INC.,FLORENCE,3932H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-12-01,2017-12-01,449066.0000,187631.0000,262475.0000,148651.0000,1575.0000,2.0000,234,61,3763,0.0000,4570,56431.0000,84542.0000,70521.0000,53192.0000,92228,167400,120128.0000,721.0000,84000,134089.0000,270851.0000,179231.0000,1075.0000,117678.0000,,,,,,477.0000,379.0000,3243774.0000,541.0000,1585,5867.0000,901,28964,86159,16376,,,,790.00,3920.7540,2390.00,255.0530,1258.8000,270.2000,24502.0000,2,14800.0000,2,16760.0000,2,101.0000,2,9493.00000,14535.00000,,43.600000,2013-12-14,1,1,49,,,16311,2013-09-24,14620.00000,0.00000,5042.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,14,0,0,557,Y,"GC&SF RR CO/SHAW, M",(N/A),P-440,OIL,2018-02-01,511011,-1493,-0.29,1681088,4809,0.29,1.92,237,5,2063-11-09,0.569008,324805,0,443097,1421548,1.33,3.66,2063-03-14,0.714744,256891,0,31.3734675,-101.9740658,COG OPERATING LLC,21856.0000,85692.0000,12526.0000,128738859
42461388640000,CONCHO RESOURCES INC.,DORIS,9H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-12-01,2017-12-01,212913.0000,201944.0000,237430.0000,421290.0000,1425.0000,1.0000,86,77,20484,9123.0000,39997,75244.0000,80215.0000,88613.0000,215991.0000,104474,112679,123254.0000,740.0000,308451,140394.0000,148704.0000,165178.0000,991.0000,356897.0000,,,,,,636.0000,532.0000,4348839.0000,725.0000,2154,1808.0000,2482,31216,31138,29540,,,,840.00,1113.0700,1050.00,898.4160,1196.1000,1191.4000,17564.0000,4,20484.0000,1,22469.0000,,135.0000,,9806.00000,15100.00000,,42.000000,2013-12-05,1,1,49,,,15580,2013-09-18,15216.00000,0.00000,5294.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,60,0,0,1534,C,"CCSD&RGNG RR CO/BARBER, J L",(N/A),P-440,OIL,2018-02-01,524353,-54707,-9.45,495710,-13202,-2.59,1.82,639,5,2063-03-14,0.798776,339745,0,524353,495710,1.82,5.18,2063-03-14,0.798776,339745,0,31.4478581,-102.0508144,COG OPERATING LLC,27965.0000,31127.0000,32323.0000,128738922
42461388770000,CONCHO RESOURCES INC.,MARY,211H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2014-01-01,2017-12-01,259487.0000,118771.0000,162019.0000,124010.0000,972.0000,1.0000,44,33,903,0.0000,630,43833.0000,86683.0000,58280.0000,24178.0000,64577,143708,88528.0000,531.0000,35294,88746.0000,201955.0000,122405.0000,734.0000,106869.0000,,,,,,344.0000,351.0000,2414643.0000,402.0000,925,1724.0000,489,18050,41627,11046,,,,1020.00,1328.1840,2180.00,752.9080,979.0000,536.5000,30055.0000,2,14548.0000,3,19557.0000,3,117.0000,3,9342.00000,14384.00000,,43.800000,2014-01-24,1,1,48,,,15535,2013-11-18,14452.00000,,5042.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,63,0,0,42,C,CCSD&RGNG RR CO,(N/A),P-440,OIL,2018-02-01,181504,-3137,-1.70,352957,8637,2.51,0.65,34,1,2053-04-06,0.272371,63772,0,254814,456440,1.36,1.93,2063-04-14,0.839829,137082,0,31.4060512,-102.0379411,COG OPERATING LLC,11975.0000,15905.0000,6095.0000,128777089
